id|name|derived_from_id|derived_from_name
5f62bf87dbf5a9f9f1209498|(nitrobutyl) morpholine / (ethylnitro-trimethylene) dimorpholi||
5f62bf8ddbf5a9f9f1209499|4,4'-(2-Ethyl-2-nitro-1,3-propanediyl)bismorpholine mixt. with 4-(2-nitrobutyl)morpholine|5f62bf87dbf5a9f9f1209498|(nitrobutyl) morpholine / (ethylnitro-trimethylene) dimorpholi
5f62bf92dbf5a9f9f120949a|4-(2-Nitrobutyl)morpholine - 4,4'-(2-ethylnitrotrimethylene)dimorpholine mixture|5f62bf87dbf5a9f9f1209498|(nitrobutyl) morpholine / (ethylnitro-trimethylene) dimorpholi
5f62bf92dbf5a9f9f120949b|Bioban P-1487|5f62bf87dbf5a9f9f1209498|(nitrobutyl) morpholine / (ethylnitro-trimethylene) dimorpholi
5f62bf92dbf5a9f9f120949c|EPA Pesticide Chemical Code 100801|5f62bf87dbf5a9f9f1209498|(nitrobutyl) morpholine / (ethylnitro-trimethylene) dimorpholi
5f62bf93dbf5a9f9f120949d|EPA Pesticide Chemical Code 100802|5f62bf87dbf5a9f9f1209498|(nitrobutyl) morpholine / (ethylnitro-trimethylene) dimorpholi
5f62bf93dbf5a9f9f120949e|P-1487|5f62bf87dbf5a9f9f1209498|(nitrobutyl) morpholine / (ethylnitro-trimethylene) dimorpholi
5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt||
5f62bf93dbf5a9f9f12094a0|1,2-Benzisothiazol-3(2H)-one|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a1|1,2-Benzisothiazolin-3-one|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a2|CCRIS 6369|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a3|Caswell No. 079A|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a4|Caswell No. 513A|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a5|EINECS 220-120-9|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a6|EPA Pesticide Chemical Code 098901|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a7|IPX|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a8|Proxan|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094a9|Proxel PL|5f62bf93dbf5a9f9f120949f|1,2-benzisothiazoline-3-one, sodium salt
5f62bf93dbf5a9f9f12094aa|1,3-butandiol-dimethacrylate||
5f62bf93dbf5a9f9f12094ab|4,4'-(2-Ethyl-2-nitro-1,3-propanediyl)bismorpholine mixt. with 4-(2-nitrobutyl)morpholine|5f62bf93dbf5a9f9f12094aa|1,3-butandiol-dimethacrylate
5f62bf93dbf5a9f9f12094ac|4-(2-Nitrobutyl)morpholine - 4,4'-(2-ethylnitrotrimethylene)dimorpholine mixture|5f62bf93dbf5a9f9f12094aa|1,3-butandiol-dimethacrylate
5f62bf94dbf5a9f9f12094ad|Bioban P-1487|5f62bf93dbf5a9f9f12094aa|1,3-butandiol-dimethacrylate
5f62bf94dbf5a9f9f12094ae|EPA Pesticide Chemical Code 100801|5f62bf93dbf5a9f9f12094aa|1,3-butandiol-dimethacrylate
5f62bf94dbf5a9f9f12094af|EPA Pesticide Chemical Code 100802|5f62bf93dbf5a9f9f12094aa|1,3-butandiol-dimethacrylate
5f62bf94dbf5a9f9f12094b0|P-1487|5f62bf93dbf5a9f9f12094aa|1,3-butandiol-dimethacrylate
5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine||
5f62bf94dbf5a9f9f12094b2|1,3-Difenylguanid|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf94dbf5a9f9f12094b3|1,3-Difenylguanid [Czech]|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf94dbf5a9f9f12094b4|1,3-Diphenylguanidine|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf94dbf5a9f9f12094b5|AI3-00225|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf94dbf5a9f9f12094b6|Accelerator D|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf94dbf5a9f9f12094b7|CCRIS 1395|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf94dbf5a9f9f12094b8|DFG|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094b9|DPG|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094ba|DPG (VAN)|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094bb|DPG accelerator|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094bc|Denax|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094bd|Denax DPG|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094be|Diphenylguanidine|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094bf|Dwufenyloguanidyna|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094c0|Dwufenyloguanidyna [Polish]|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094c1|EINECS 203-002-1|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094c2|Guanidine, 1,3-diphenyl-|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094c3|Guanidine, N,N’-diphenyl-|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094c4|HSDB 5345|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094c5|Melaniline|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf95dbf5a9f9f12094c6|N,N’-Diphenylguanidine|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094c7|NCI-C60924|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094c8|NSC 3272|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094c9|Nocceler D|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094ca|USAF B-19|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094cb|USAF EK-1270|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094cc|Vulcafor DPG|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094cd|Vulkacit D|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094ce|Vulkacit D/C|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094cf|Vulkacite D|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094d0|Vulkazit s-Diphenylguanidine|5f62bf94dbf5a9f9f12094b1|1,3-diphenylguanidine
5f62bf96dbf5a9f9f12094d1|1,3,5-tris-(2-hydroxyethyl)-hexahydrotriazine (grotan bk)||
